sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
3421,1067,596,16489,-281,-155,38
3422,264,1219,16204,-27,-124,55
3423,475,1806,16077,-76,-115,31
3424,1090,1194,16338,-313,-166,2
3425,943,528,16457,-281,-140,35
3426,306,1305,16304,3,-102,53
3427,551,1866,16035,-84,-158,18
3428,1134,1051,16391,-330,-175,-3
3429,769,617,16444,-235,-147,59
3430,243,1309,16218,-3,-126,61
3431,663,1868,16186,-125,-113,23
3432,1235,983,16339,-351,-140,3
3433,731,651,16417,-220,-146,56
3434,129,1432,16139,6,-126,67
3435,759,1777,16082,-119,-125,18
3436,1256,935,16483,-359,-166,7
3437,709,663,16391,-183,-143,74
3438,156,1562,16118,39,-120,40
3439,746,1708,16137,-155,-143,14
3440,1311,848,16442,-359,-143,26
3441,617,737,16423,-154,-123,53
3442,172,1643,16087,21,-104,38
3443,761,1648,16138,-185,-144,9
3444,1159,768,16434,-350,-135,24
3445,653,780,16408,-132,-122,64
3446,210,1733,16103,3,-133,56
3447,931,1656,16154,-216,-138,10
3448,1145,682,16430,-338,-151,7
3449,489,838,16342,-117,-111,60
3450,348,1690,16213,-13,-90,52
3451,994,1504,16156,-222,-161,17
3452,1130,655,16466,-323,-197,19
3453,352,985,16278,-95,-121,48
3454,347,1808,16080,-49,-114,41
3455,1116,1399,16335,-257,-156,12
3456,1054,592,16460,-307,-157,29
3457,341,1082,16274,-60,-127,51
3458,314,1852,16026,-38,-145,22
3459,1151,1330,16282,-294,-149,5
3460,1044,531,16527,-294,-137,12
3461,294,1148,16189,-37,-125,41
3462,380,1858,16047,-22,-116,31
3463,1109,1286,16319,-295,-144,6
3464,1046,525,16509,-269,-142,51
3465,262,1224,16236,-5,-128,70
3466,493,1902,16058,-68,-118,33
3467,1127,1171,16293,-332,-158,8
3468,916,542,16463,-269,-133,46
3469,300,1226,16272,-26,-102,70
3470,546,1833,16173,-111,-137,4
3471,1184,1064,16306,-344,-182,9
3472,786,648,16361,-227,-173,62
3473,231,1309,16212,-35,-137,57
3474,702,1817,16197,-123,-147,11
3475,1244,979,16332,-318,-169,12
3476,764,674,16455,-197,-157,51
3477,135,1507,16145,13,-114,54
3478,715,1721,16107,-124,-161,18
3479,1267,922,16435,-321,-166,-2
3480,690,687,16365,-180,-159,55
3481,169,1635,16109,22,-132,44
3482,691,1611,16136,-170,-138,3
3483,1281,783,16445,-352,-167,29
3484,655,764,16436,-153,-124,65
3485,241,1685,16074,30,-110,48
3486,790,1658,16178,-196,-156,9
3487,1163,720,16442,-327,-173,2
3488,633,798,16371,-138,-142,45
3489,264,1716,16157,-20,-114,48
3490,912,1669,16111,-205,-154,-11
3491,1133,669,16401,-324,-144,7
3492,423,846,16344,-112,-121,67
3493,345,1759,16141,0,-117,43
3494,1000,1563,16193,-215,-143,16
3495,1154,629,16443,-309,-171,26
3496,376,956,16257,-73,-124,64
3497,275,1840,16057,-18,-119,36
3498,1160,1435,16273,-252,-169,-15
3499,1102,589,16462,-314,-164,5
3500,338,1019,16322,-54,-110,68
3501,295,1885,16013,-16,-105,45
3502,1104,1327,16254,-288,-151,-23
3503,1068,514,16575,-313,-148,24
3504,288,1123,16252,-39,-131,83
3505,395,1870,16091,-18,-128,49
3506,1082,1297,16261,-275,-147,7
3507,999,537,16442,-299,-153,42
3508,340,1156,16330,-46,-119,61
3509,476,1815,16048,-53,-162,44
3510,1087,1156,16285,-296,-198,-1
3511,817,633,16388,-264,-161,24
3512,286,1218,16226,-21,-109,63
3513,606,1840,16192,-105,-114,39
3514,1188,1080,16334,-323,-164,11
3515,804,648,16419,-229,-128,38
3516,151,1475,16201,-9,-125,64
3517,745,1810,16071,-129,-130,15
3518,1283,927,16380,-335,-147,10
3519,760,611,16442,-199,-161,48
3520,115,1548,16126,25,-117,42
3521,712,1759,16136,-166,-131,24
3522,1320,882,16414,-357,-175,26
3523,679,655,16370,-183,-151,70
3524,188,1619,16133,22,-114,45
3525,674,1695,16123,-175,-150,11
3526,1210,829,16372,-344,-154,18
3527,673,749,16418,-157,-140,56
3528,219,1667,16080,28,-119,32
3529,842,1649,16157,-169,-163,-9
3530,1126,734,16418,-341,-185,-8
3531,568,792,16348,-123,-110,24
3532,268,1677,16217,1,-107,42
3533,929,1608,16103,-198,-167,15
3534,1145,646,16471,-305,-164,27
3535,434,885,16293,-91,-115,51
3536,360,1733,16064,-38,-120,40
3537,1073,1501,16315,-264,-155,-3
3538,1135,598,16448,-315,-170,10
3539,359,965,16264,-82,-138,65
3540,260,1820,16019,-29,-94,43
3541,1143,1409,16251,-273,-130,19
3542,1102,591,16495,-316,-153,33
3543,370,1064,16267,-47,-129,70
3544,294,1814,16065,-21,-117,66
3545,1023,1397,16258,-289,-143,5
3546,1088,591,16469,-317,-176,26
3547,305,1138,16248,-38,-117,52
3548,421,1812,16078,-47,-118,33
3549,1046,1298,16234,-289,-162,12
3550,973,562,16426,-274,-167,36
3551,350,1181,16274,-33,-110,61
3552,525,1880,16038,-99,-121,35
3553,1142,1118,16319,-326,-164,14
3554,858,616,16430,-230,-129,25
3555,269,1273,16195,12,-97,49
3556,643,1870,16126,-76,-138,28
3557,1220,1085,16289,-322,-147,13
3558,780,581,16480,-247,-150,56
3559,107,1358,16199,5,-116,58
3560,695,1840,16076,-100,-115,14
3561,1268,1043,16390,-340,-157,14
3562,817,605,16383,-222,-162,62
3563,133,1522,16165,6,-106,50
3564,656,1725,16099,-148,-133,14
3565,1292,950,16371,-319,-167,3
3566,704,654,16413,-185,-147,37
3567,197,1633,16092,-13,-96,40
3568,696,1648,16151,-165,-132,15
3569,1149,836,16382,-321,-170,7
3570,689,797,16359,-162,-127,40
3571,246,1661,16113,-12,-105,34
3572,883,1663,16132,-202,-161,-6
3573,1166,706,16429,-320,-166,24
3574,503,859,16309,-108,-122,59
3575,359,1691,16135,-9,-123,43
3576,944,1589,16180,-219,-155,4
3577,1184,603,16469,-324,-160,43
3578,398,916,16344,-79,-110,53
3579,275,1815,16026,-2,-106,54
3580,1078,1486,16260,-254,-162,16
3581,1123,629,16425,-328,-175,-1
3582,389,939,16345,-94,-139,40
3583,224,1805,16043,-18,-115,40
3584,1041,1443,16246,-247,-132,4
3585,1105,608,16520,-291,-166,14
3586,348,1024,16242,-15,-121,46
3587,291,1822,16080,-3,-134,42
3588,996,1347,16277,-257,-154,-11
3589,1085,568,16480,-309,-146,28
3590,305,1133,16337,-42,-119,75
3591,465,1828,16030,-52,-133,47
3592,1080,1250,16302,-302,-159,17
3593,946,557,16501,-275,-153,27
3594,362,1228,16235,-30,-124,56
3595,514,1869,16183,-65,-123,22
3596,1159,1126,16321,-297,-162,19
3597,821,597,16378,-253,-161,49
3598,230,1315,16181,-2,-129,65
3599,675,1865,16123,-124,-110,21
3600,1218,1103,16341,-349,-157,6
3601,865,570,16447,-226,-149,51
3602,156,1449,16139,15,-102,63
3603,633,1860,16112,-106,-117,21
3604,1299,970,16440,-359,-162,14
3605,764,609,16393,-232,-129,61
3606,197,1486,16156,15,-128,55
3607,679,1758,16066,-149,-139,26
3608,1229,967,16372,-359,-146,20
3609,737,627,16490,-217,-135,39
3610,195,1557,16115,18,-121,52
3611,715,1749,16142,-165,-141,5
3612,1081,822,16400,-342,-178,5
3613,628,782,16283,-170,-151,54
3614,277,1528,16206,-3,-101,39
3615,882,1710,16120,-176,-146,6
3616,1171,723,16437,-329,-166,42
3617,492,852,16339,-138,-119,56
3618,313,1604,16110,-10,-112,47
3619,958,1594,16231,-192,-145,-1
3620,1173,740,16429,-301,-153,8
3621,453,922,16316,-84,-123,71
3622,217,1796,16070,-21,-103,42
3623,1046,1459,16247,-254,-150,9
3624,1163,651,16476,-311,-169,35
3625,445,933,16341,-81,-102,75
3626,249,1826,16066,-2,-108,42
3627,1066,1412,16263,-263,-183,17
3628,1201,569,16574,-313,-168,22
3629,348,1018,16307,-76,-102,49
3630,305,1831,16090,-17,-118,23
3631,916,1438,16222,-251,-165,10
3632,1049,560,16483,-310,-152,44
3633,379,1070,16298,-60,-102,87
3634,426,1787,16092,-41,-134,21
3635,1123,1342,16294,-267,-186,-6
3636,928,630,16434,-285,-164,53
3637,321,1149,16216,-43,-118,59
3638,523,1834,16207,-59,-132,22
3639,1175,1146,16270,-301,-176,3
3640,854,607,16410,-239,-166,17
3641,190,1278,16170,-7,-129,43
3642,628,1835,16098,-85,-107,22
3643,1256,1126,16397,-340,-116,8
3644,888,592,16421,-254,-147,57
3645,202,1426,16195,14,-121,78
3646,579,1822,16093,-119,-143,19
3647,1343,975,16391,-339,-185,-5
3648,792,606,16502,-213,-139,62
3649,185,1514,16217,21,-95,57
3650,617,1740,16112,-119,-116,-4
3651,1229,891,16422,-364,-193,-5
3652,785,665,16473,-210,-140,58
3653,195,1571,16075,24,-120,42
3654,770,1783,16086,-150,-156,5
3655,1130,803,16391,-340,-219,25
3656,626,716,16365,-175,-139,75
3657,236,1547,16236,-2,-105,34
3658,852,1768,16108,-172,-167,11
3659,1189,723,16466,-381,-200,12
3660,505,798,16360,-148,-145,58
3661,262,1680,16059,15,-110,56
3662,996,1599,16218,-189,-146,6
3663,1202,776,16397,-326,-158,21
3664,488,835,16369,-118,-122,53
3665,211,1809,16055,5,-104,47
3666,1027,1477,16214,-253,-139,21
3667,1181,679,16495,-314,-161,29
3668,439,946,16302,-97,-129,55
3669,222,1820,16106,-12,-123,29
3670,975,1354,16283,-278,-164,-3
3671,1160,564,16490,-303,-164,21
3672,380,1057,16288,-53,-123,70
3673,347,1874,16028,-31,-130,50
3674,1033,1335,16267,-284,-164,-8
3675,1027,501,16540,-322,-162,36
3676,388,1151,16298,-30,-111,91
3677,436,1840,16082,-43,-123,37
3678,1109,1269,16280,-274,-158,-13
3679,912,515,16476,-278,-142,17
3680,298,1162,16239,-54,-125,41
3681,588,1883,16189,-83,-131,36
3682,1178,1194,16308,-317,-164,6
3683,887,605,16433,-272,-153,16
3684,159,1258,16198,-20,-119,46
3685,564,1809,16108,-69,-124,50
3686,1272,1178,16345,-334,-189,12
3687,856,644,16383,-238,-142,31
3688,200,1388,16234,-29,-123,59
3689,554,1744,16107,-111,-123,22
3690,1286,1036,16309,-316,-165,13
3691,820,698,16442,-189,-155,42
3692,194,1505,16066,-2,-102,66
3693,664,1734,16122,-148,-122,11
3694,1196,826,16404,-356,-129,-4
3695,764,711,16390,-183,-116,40
3696,188,1590,16135,-9,-109,62
3697,750,1787,16119,-184,-151,14
3698,1122,726,16483,-349,-171,4
3699,579,712,16372,-166,-139,58
3700,300,1607,16157,6,-95,48
3701,887,1733,16163,-183,-131,0
3702,1238,718,16416,-358,-160,12
3703,498,805,16350,-129,-150,54
3704,201,1661,16140,6,-91,52
3705,1013,1604,16221,-193,-158,5
3706,1148,738,16469,-307,-185,21
3707,467,799,16385,-101,-126,68
3708,197,1791,16056,24,-120,54
3709,979,1477,16227,-236,-167,-7
3710,1208,716,16486,-305,-182,6
3711,440,968,16282,-91,-137,75
3712,313,1812,16077,-2,-101,42
3713,962,1378,16223,-242,-137,-6
3714,1101,578,16489,-294,-157,16
3715,359,1068,16300,-60,-121,42
3716,369,1849,16032,-60,-132,32
3717,1038,1331,16288,-264,-168,6
3718,946,495,16552,-264,-163,31
3719,375,1171,16225,-30,-128,57
3720,495,1896,16096,-38,-136,44
3721,1154,1245,16270,-302,-165,9
3722,922,548,16485,-289,-149,38
3723,244,1184,16191,-16,-127,44
3724,585,1845,16095,-56,-127,20
3725,1210,1233,16293,-320,-166,-10
3726,915,548,16420,-265,-155,14
3727,199,1294,16164,-13,-114,43
3728,534,1810,16119,-84,-133,37
3729,1301,1125,16345,-338,-160,17
3730,836,599,16441,-228,-157,48
3731,190,1463,16168,22,-121,69
3732,544,1760,16082,-110,-126,24
3733,1270,970,16390,-341,-170,-1
3734,800,665,16483,-221,-140,43
3735,188,1533,16099,0,-119,39
3736,717,1758,16152,-140,-153,20
3737,1148,875,16394,-326,-159,13
3738,675,767,16352,-193,-136,48
3739,293,1538,16211,-9,-113,46
3740,790,1726,16053,-191,-149,17
3741,1141,716,16435,-335,-166,30
3742,507,789,16321,-110,-138,79
3743,240,1614,16098,16,-113,46
3744,961,1640,16248,-185,-144,-9
3745,1214,729,16378,-343,-171,19
3746,507,866,16345,-105,-145,52
3747,223,1785,16083,0,-120,71
3748,1066,1482,16240,-244,-156,7
3749,1161,635,16487,-325,-173,30
3750,456,932,16304,-77,-133,43
3751,168,1817,16049,-1,-86,34
3752,946,1399,16249,-279,-149,29
3753,1177,586,16513,-338,-177,33
3754,378,995,16290,-75,-137,86
3755,362,1837,16071,-23,-112,49
3756,1018,1398,16304,-281,-175,-14
3757,1071,585,16468,-327,-176,18
3758,429,1107,16320,-53,-105,55
3759,408,1837,16108,-50,-134,36
3760,1082,1297,16295,-281,-184,9
3761,894,585,16461,-278,-153,37
3762,276,1161,16252,-25,-104,47
3763,531,1832,16179,-64,-133,29
3764,1156,1211,16291,-290,-172,11
3765,882,634,16469,-232,-178,23
3766,179,1285,16196,-20,-129,65
3767,553,1809,16060,-86,-136,37
3768,1266,1091,16366,-308,-177,21
3769,900,611,16395,-205,-148,34
3770,212,1416,16183,19,-115,40
3771,571,1790,16064,-100,-118,27
3772,1321,952,16391,-340,-168,14
3773,810,620,16481,-208,-155,45
3774,175,1551,16108,-2,-119,54
3775,606,1769,16072,-146,-144,6
3776,1188,880,16444,-357,-163,-4
3777,794,602,16458,-197,-128,55
3778,201,1643,16142,31,-122,59
3779,783,1729,16142,-175,-158,0
3780,1163,773,16406,-355,-173,23
3781,591,727,16382,-176,-133,54
3782,295,1561,16223,9,-111,52
3783,864,1751,16140,-173,-150,12
3784,1189,734,16433,-347,-173,2
3785,452,800,16365,-137,-109,62
3786,231,1638,16133,-7,-102,60
3787,993,1644,16236,-209,-167,2
3788,1207,758,16385,-347,-177,13
3789,510,840,16359,-135,-110,64
3790,183,1738,16052,-5,-82,42
3791,999,1512,16188,-219,-147,11
3792,1192,734,16507,-323,-174,14
3793,383,962,16270,-130,-110,72
3794,278,1770,16119,-2,-132,32
3795,962,1402,16286,-254,-139,4
3796,1110,649,16458,-314,-149,33
3797,383,1061,16303,-44,-128,50
3798,391,1795,16032,-33,-134,37
3799,1011,1283,16312,-280,-156,-2
3800,972,514,16500,-300,-152,24
3801,362,1184,16246,-27,-115,61
3802,459,1850,16119,-63,-126,16
3803,1151,1257,16307,-272,-164,10
3804,913,555,16482,-243,-155,35
3805,259,1183,16172,-19,-107,58
3806,556,1894,16124,-82,-109,51
3807,1212,1172,16305,-324,-160,21
3808,865,616,16477,-239,-163,38
3809,143,1275,16228,-8,-119,59
3810,567,1784,16098,-93,-120,43
3811,1296,1074,16361,-311,-155,6
3812,840,605,16396,-228,-135,44
3813,219,1421,16174,-15,-105,49
3814,577,1742,16104,-129,-110,26
3815,1298,973,16408,-341,-174,1
3816,819,640,16511,-221,-143,37
3817,202,1526,16100,19,-116,47
3818,673,1716,16103,-140,-156,28
3819,1148,817,16418,-355,-178,8
3820,689,690,16350,-184,-145,64
3821,200,1564,16197,-11,-119,48
3822,804,1716,16123,-177,-135,6
3823,1160,744,16464,-351,-166,14
3824,563,763,16351,-158,-91,47
3825,336,1603,16144,0,-105,48
3826,903,1704,16217,-192,-169,6
3827,1206,697,16431,-324,-176,24
3828,499,789,16349,-92,-133,58
3829,208,1785,16042,6,-115,33
3830,1038,1572,16174,-240,-160,-16
3831,1194,592,16505,-340,-181,16
3832,452,870,16329,-112,-130,49
3833,203,1865,16054,17,-102,41
3834,972,1484,16264,-238,-144,6
3835,1186,603,16535,-327,-176,21
3836,450,920,16298,-69,-117,57
3837,311,1868,16105,1,-111,40
3838,931,1370,16246,-271,-193,20
3839,1047,533,16522,-338,-175,28
3840,365,1054,16344,-66,-106,57
3841,389,1849,16045,-19,-123,45
3842,1080,1302,16309,-254,-168,3
3843,957,589,16418,-299,-168,8
3844,336,1122,16234,-57,-106,60
3845,510,1834,16162,-41,-100,39
3846,1145,1262,16231,-306,-151,15
3847,893,588,16448,-261,-177,43
3848,209,1204,16243,-39,-101,45
3849,581,1801,16094,-89,-114,18
3850,1210,1131,16337,-328,-171,6
3851,892,621,16410,-235,-154,31
3852,178,1350,16215,-25,-111,49
3853,543,1782,16142,-112,-118,17
3854,1365,1001,16439,-351,-153,13
3855,802,653,16454,-198,-149,58
3856,168,1475,16152,28,-133,40
3857,592,1744,16091,-145,-152,0
3858,1233,844,16472,-335,-186,11
3859,777,648,16499,-189,-132,51
3860,210,1611,16114,25,-107,43
3861,758,1734,16133,-171,-137,4
3862,1164,750,16436,-326,-190,3
3863,624,698,16337,-169,-124,49
3864,312,1610,16189,29,-119,63
3865,829,1768,16133,-193,-143,17
3866,1120,696,16487,-355,-167,21
3867,484,792,16368,-146,-118,56
3868,245,1694,16129,-7,-112,36
3869,986,1684,16238,-209,-156,7
3870,1234,727,16418,-348,-185,15
3871,433,779,16391,-119,-145,46
3872,179,1772,16083,28,-122,25
3873,1045,1505,16205,-227,-155,-8
3874,1140,734,16497,-321,-160,20
3875,403,932,16326,-80,-127,79
3876,254,1792,16110,-1,-141,35
3877,968,1437,16258,-273,-148,-9
3878,1155,598,16416,-327,-147,39
3879,357,1039,16327,-61,-120,48
3880,372,1805,16068,-46,-149,28
3881,994,1342,16310,-280,-134,2
3882,979,559,16473,-304,-129,13
3883,383,1153,16259,-43,-111,77
3884,471,1830,16099,-60,-129,34
3885,1131,1203,16318,-281,-170,-14
3886,883,552,16428,-263,-155,40
3887,282,1240,16172,-23,-113,78
3888,568,1863,16150,-71,-147,42
3889,1184,1125,16304,-332,-184,27
3890,874,582,16504,-271,-152,38
3891,179,1329,16171,-20,-101,50
3892,618,1857,16071,-86,-115,35
