sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
174,619,1177,16262,-148,-124,28
175,623,1176,16276,-158,-121,25
176,621,1193,16268,-166,-114,28
177,626,1179,16280,-190,-119,10
178,582,1164,16314,-152,-120,25
179,597,1171,16318,-159,-120,29
180,612,1179,16313,-163,-116,15
181,627,1173,16301,-164,-122,37
182,627,1172,16316,-159,-126,56
183,621,1159,16297,-165,-124,38
184,593,1168,16273,-147,-122,32
185,616,1181,16325,-172,-110,25
186,599,1173,16312,-167,-115,39
187,580,1192,16292,-170,-104,44
188,623,1169,16293,-171,-122,21
189,646,1186,16309,-156,-114,27
190,619,1211,16321,-179,-119,38
191,586,1163,16289,-176,-125,39
192,605,1171,16291,-161,-86,32
193,606,1161,16311,-166,-120,13
194,612,1168,16274,-164,-108,20
195,601,1154,16295,-161,-106,25
196,591,1156,16319,-171,-128,26
197,608,1179,16299,-157,-124,32
198,619,1167,16296,-166,-118,28
199,616,1159,16314,-147,-102,35
200,590,1163,16312,-154,-100,34
201,609,1181,16318,-174,-104,31
202,605,1172,16295,-163,-136,26
203,605,1159,16288,-159,-126,32
204,594,1174,16300,-195,-124,24
205,607,1169,16300,-182,-123,17
206,570,1187,16289,-182,-111,14
207,602,1163,16283,-170,-117,44
208,615,1166,16320,-154,-138,46
209,601,1148,16288,-165,-121,39
210,625,1174,16307,-154,-126,40
211,607,1193,16302,-162,-106,37
212,594,1168,16314,-174,-102,42
213,573,1164,16318,-165,-130,28
214,583,1176,16301,-146,-130,28
215,585,1159,16294,-162,-123,41
216,605,1186,16316,-172,-110,56
217,596,1189,16348,-150,-117,37
218,597,1172,16298,-145,-121,31
219,595,1167,16295,-168,-124,26
220,614,1153,16315,-158,-118,32
221,595,1165,16309,-176,-122,26
222,567,1181,16280,-165,-119,28
223,576,1166,16277,-156,-105,15
224,605,1187,16281,-156,-115,-2
225,626,1208,16303,-175,-115,31
226,642,1182,16297,-157,-114,51
227,604,1151,16304,-150,-109,43
228,594,1143,16318,-166,-113,31
229,593,1155,16272,-169,-114,26
230,588,1149,16283,-165,-133,30
231,614,1171,16336,-170,-122,20
232,587,1183,16317,-171,-127,15
233,595,1181,16291,-157,-138,44
234,613,1142,16300,-161,-112,45
235,609,1178,16298,-162,-125,39
236,594,1163,16297,-179,-129,39
237,589,1168,16309,-178,-101,29
238,609,1172,16300,-175,-92,37
239,590,1155,16332,-163,-126,17
240,624,1176,16286,-157,-128,26
241,626,1197,16248,-168,-115,36
242,619,1181,16268,-181,-110,35
243,601,1136,16278,-162,-113,17
244,594,1163,16296,-161,-133,23
245,604,1154,16326,-152,-142,26
246,616,1131,16298,-151,-119,30
247,583,1187,16318,-158,-120,32
248,596,1178,16305,-155,-124,20
249,627,1178,16269,-156,-128,16
250,623,1136,16292,-170,-143,24
251,607,1176,16311,-177,-115,38
252,585,1193,16314,-192,-105,43
253,578,1186,16322,-157,-113,40
254,613,1160,16324,-157,-130,38
255,567,1192,16305,-162,-123,22
256,583,1185,16318,-183,-121,33
257,621,1161,16332,-162,-132,35
258,581,1180,16307,-172,-142,26
259,607,1200,16316,-146,-122,26
260,608,1167,16260,-141,-121,40
261,600,1197,16268,-162,-137,14
262,614,1176,16315,-163,-122,14
263,584,1171,16325,-140,-125,42
264,583,1187,16319,-161,-116,45
265,569,1186,16292,-155,-100,28
266,601,1159,16302,-149,-128,32
267,615,1174,16308,-165,-149,44
268,611,1188,16289,-180,-136,37
269,609,1180,16287,-174,-102,29
270,607,1158,16292,-163,-127,29
271,600,1152,16324,-165,-139,30
272,601,1170,16322,-164,-122,49
273,612,1178,16280,-150,-134,12
274,595,1158,16280,-168,-136,33
275,640,1194,16303,-159,-122,36
276,603,1177,16293,-153,-118,17
277,595,1174,16281,-144,-123,26
278,591,1166,16276,-147,-125,26
279,575,1172,16299,-183,-123,26
280,594,1163,16290,-159,-122,37
281,624,1174,16278,-153,-103,30
282,601,1160,16310,-189,-133,25
283,600,1164,16282,-152,-117,20
284,599,1177,16313,-138,-130,24
285,602,1160,16287,-193,-104,15
286,596,1171,16320,-166,-102,52
287,611,1175,16351,-134,-112,49
288,584,1170,16340,-138,-120,20
289,612,1171,16315,-168,-126,38
290,627,1191,16349,-189,-103,39
291,630,1178,16236,-181,-101,21
292,610,1169,16309,-169,-117,11
293,601,1181,16298,-158,-105,24
294,621,1170,16306,-146,-119,48
295,590,1183,16314,-151,-141,40
296,580,1191,16310,-160,-142,27
297,599,1179,16276,-166,-133,16
298,614,1190,16311,-166,-131,18
299,618,1161,16323,-171,-122,29
300,615,1168,16288,-163,-146,57
301,614,1186,16276,-180,-156,32
302,580,1181,16272,-170,-138,29
303,596,1198,16299,-161,-109,29
304,598,1158,16339,-161,-124,40
305,612,1177,16285,-170,-143,43
306,621,1188,16295,-163,-120,20
307,627,1188,16339,-154,-131,28
308,599,1168,16276,-156,-130,29
309,620,1157,16294,-155,-133,28
310,606,1161,16284,-162,-129,57
311,620,1168,16273,-152,-135,26
312,568,1210,16318,-144,-130,24
313,570,1179,16335,-173,-104,29
314,597,1189,16322,-169,-115,26
315,588,1174,16257,-155,-134,21
316,610,1189,16274,-149,-138,32
317,621,1173,16346,-173,-135,36
318,577,1168,16273,-163,-125,37
319,603,1160,16282,-166,-135,36
320,599,1159,16305,-166,-115,30
321,607,1158,16308,-171,-108,22
322,581,1181,16313,-154,-99,41
323,588,1173,16302,-148,-123,17
324,625,1218,16288,-146,-127,24
325,608,1178,16294,-147,-118,31
326,577,1166,16313,-170,-105,34
327,603,1189,16304,-166,-116,25
328,621,1165,16316,-169,-113,29
329,653,1147,16304,-138,-113,37
330,614,1181,16263,-164,-122,30
331,588,1152,16304,-157,-121,53
332,615,1163,16282,-152,-130,30
333,605,1181,16323,-153,-122,24
334,590,1195,16364,-166,-144,33
335,602,1175,16331,-175,-125,27
336,611,1157,16287,-167,-112,36
337,608,1176,16303,-179,-128,27
338,617,1160,16306,-164,-127,31
339,601,1144,16298,-190,-133,-5
340,610,1152,16297,-172,-95,38
341,631,1172,16281,-161,-117,55
342,603,1211,16312,-168,-127,21
343,627,1196,16315,-165,-123,25
344,586,1188,16300,-165,-120,39
345,621,1204,16303,-175,-115,41
346,630,1201,16317,-174,-121,44
347,620,1195,16320,-172,-130,44
348,578,1167,16280,-185,-131,42
349,592,1147,16276,-154,-117,34
350,599,1173,16303,-158,-116,27
351,613,1171,16294,-172,-110,19
352,623,1185,16313,-164,-110,23
353,578,1181,16294,-151,-126,33
354,588,1161,16300,-142,-159,44
355,600,1172,16282,-154,-127,38
356,597,1185,16342,-151,-120,25
357,616,1174,16312,-148,-124,32
358,608,1171,16292,-163,-133,35
359,589,1173,16335,-148,-128,42
360,589,1196,16313,-157,-106,33
361,609,1206,16305,-147,-102,42
362,633,1198,16316,-162,-127,36
363,577,1179,16278,-166,-147,40
364,600,1155,16288,-157,-109,31
365,606,1181,16290,-168,-135,44
366,595,1183,16305,-183,-130,13
367,581,1185,16306,-176,-124,29
368,612,1177,16308,-181,-127,59
369,596,1149,16271,-175,-131,49
370,583,1172,16304,-150,-135,14
371,612,1179,16289,-182,-147,47
372,581,1181,16290,-170,-123,36
373,612,1180,16306,-148,-131,43
374,605,1186,16289,-153,-132,29
375,605,1203,16265,-160,-116,29
376,599,1202,16299,-173,-99,41
377,607,1163,16313,-163,-134,23
378,595,1172,16312,-162,-137,-2
379,605,1163,16277,-183,-115,21
